the	art+m.یہ@art+f.یہ
rigged	a.دھاندلی والا@v.دھاندلی کرنا
argonne	n+m.آرگون
domicile	n+m.رہائش@v.رہائش اختیار کرنا
colfax	n+m.کولفیکس
chargeable	a.قابل محصول
fanning	v.پنکھا کرنا
spurred	v.ابھارنا
optimise	v.بہتر بنانا
ernesto	n+m.ارنیسٹو
osage	n+m.اوسیج
coeds	n+f.مخلوط تعلیم والی
peregrine	n+m.شکرا
tabitha	n+f.طبیتا
subdirectories	n+f.ذیلی فہرستیں
crumb	n+m.ٹکڑا
fostered	v.پرورش کرنا
culmination	n+f.عروج
revolves	v.گھومنا
guilder	n+m.گلڈر
comparator	n+m.موازنہ کار
mend	v.مرمت کرنا@n+f.مرمت
theoretic	a.نظری
sealer	n+m.مہر لگانے والا
sleazy	a.گھٹیا
softening	v.نرم کرنا
onstage	ad.اسٹیج پر
waterproofing	n+f.واٹر پروفنگ
glimpses	n+f.جھلکیاں@v.جھلک دیکھنا
riel	n+m.ریال
pinky	n+f.چھنگلی@a.گلابی
hattie	n+f.ہیٹی
lewisham	n+m.لوشم
mints	n+f.ٹکسال@v.سکے ڈھالنا
invertebrate	n+m.بے ریڑھ@a.بے ریڑھ
rebellious	a.باغی
tastefully	ad.خوبصورتی سے
capo	n+m.سرغنہ
pairings	n+f.جوڑیاں
guesthouses	n+m.مہمان خانے
yikes	int.اوہو
grate	v.کدوکش کرنا@n+f.جالی
lourdes	n+f.لورڈز
exorcism	n+m.جن نکالنا
grilles	n+f.جالیاں
mim	n+m.مم
cultivar	n+m.پیداوار
orson	n+m.آرسن
teammate	n+m.ساتھی کھلاڑی
diseased	a.بیمار
kenilworth	n+m.کینل ورتھ
hrvatska	n+f.کروشیا
sequencer	n+m.ترتیب دینے والا
grandparent	n+m.دادا دادی
demonic	a.شیطانی
margot	n+f.مارگوٹ
socialists	n+m.سوشلسٹ
deduced	v.نتیجہ نکالنا
collaboratively	ad.مل کر
oberlin	n+m.اوبرلن
buttocks	n+m.کولہے
unmanned	a.بغیر عملے
rainbows	n+f.قوس قزح
gunnar	n+m.گنار
alcoa	n+m.الکوا
mums	n+f.ماں
burials	n+f.تدفینیں
eunice	n+f.یونیس
bountiful	a.فراخ دست@a.فراواں
salazar	n+m.سالازار
lossless	a.بے نقصان
imbalances	n+m.عدم توازن
mesopotamia	n+f.بین النہرین
andean	a.اینڈین
poseidon	n+m.پوسیڈن
superconducting	a.انتہائی موصل
spectroscopic	a.طیف بینی
armpit	n+f.بغل
ratify	vt.توثیق کرنا
mew	n+f.میاؤں@vi.میاؤں کرنا
worsening	n+f.بگاڑ@a.بگڑتا ہوا
metalworking	n+m.دھات کاری
groundhog	n+m.گراؤنڈ ہاگ
mexicans	n+m.میکسیکن لوگ
ginkgo	n+m.جنکگو
fiend	n+m.شیطان@n+m.عادی
drapery	n+f.پردہ داری
bernice	n+f.برنیس
deported	a.جلاوطن شدہ
decedent	n+m.مرحوم
muzzle	n+f.تھوتھنی@vt.منہ بند کرنا
entrant	n+m.داخل ہونے والا
schoolhouse	n+m.اسکول کی عمارت
baku	n+m.باکو
telescopic	a.دوربینی
phasing	n+f.مرحلہ بندی
lactate	n+m.لیکٹیٹ@vi.دودھ پلانا
poughkeepsie	n+f.پوکیپسی
dodson	n+m.ڈوڈسن
monorail	n+f.مونو ریل
retribution	n+f.سزا@n+m.بدلہ
bookworm	n+m.کتابی کیڑا
sabbatical	n+f.تفریحی چھٹی@a.سبتی
slander	n+f.بہتان@vt.بہتان لگانا
basing	n+f.بنیاد رکھنا
foucault	n+m.فوکو
baits	n+f.چارہ@vt.چارہ ڈالنا
fireside	n+m.چولہے کا کنارہ
onshore	a.ساحلی@ad.ساحل پر
disposing	n+f.تصرف
wicks	n+f.بتیاں
pathologists	n+m.ماہرین امراض
pathol	n+m.امراضیات
suffrage	n+m.حق رائے دہی
toxics	n+m.زہریلے مادے
triumphs	n+f.فتوحات@vi.فتح پانا
fortifying	a.مضبوط کرنے والا
sleepless	a.بے خواب
kinesiology	n+f.حرکیات
potions	n+f.جادوئی مشروبات
tern	n+f.سمندری بگلا
squirts	n+f.پچکاریاں@vt.پچکاری مارنا
delmar	n+m.ڈیلمار
storybook	n+f.کہانیوں کی کتاب
watered	a.سیراب شدہ
lass	n+f.لڑکی
grenades	n+f.دستی بم
fleas	n+f.پسو
contrasted	a.متضاد
opting	v.انتخاب کرنا
hauled	v.کھینچا
taupe	n+m.بھورا خاکی رنگ
ventured	v.ہمت کی
hookup	n+m.رابطہ@n+f.جوڑ
recite	vt.پڑھنا@vt.سنانا
myron	n+m.مائرون
doreen	n+f.ڈورین
keepsakes	n+f.یادگاریں
seawater	n+m.سمندری پانی
contenders	n+m.دعویدار
kneeling	n+f.گھٹنے ٹیکنا@a.گھٹنے ٹیکے ہوئے
negation	n+f.نفی
conveyors	n+m.نقالے
accenture	n+f.ایکسینچر
dismay	n+f.مایوسی@vt.مایوس کرنا
rota	n+f.باری کی فہرست
kelso	n+m.کیلسو
smelled	v.سونگھا@v.بو آئی
jute	n+m.پٹ سن
printmaking	n+f.چھپائی کا فن
heals	vt.شفا دیتا ہے
julianne	n+f.جولیان
prim	a.نفیس@a.باوقار
reconstructive	a.تعمیر نو کا
vicksburg	n+m.وکسبرگ
bookshelves	n+f.کتابوں کی الماریاں
trespass	n+f.بے جا مداخلت@vi.بے جا داخل ہونا
conciliation	n+f.مصالحت
supermodels	n+f.سپر ماڈلز
glycerol	n+m.گلیسرول
compasses	n+m.قطب نمے@n+m.پرکار
groomed	a.سجا ہوا@v.سنوارا
leaping	n+f.چھلانگ@a.چھلانگ لگاتا
impunity	n+f.سزا سے استثنیٰ
sunken	a.دھنسا ہوا@a.غرق
sliders	n+m.سلائیڈرز
inaugurated	a.افتتاح شدہ
redford	n+m.ریڈفورڈ
encountering	v.سامنا کرنا
itemized	a.تفصیلی
infernal	a.جہنمی@a.دوزخی
defamatory	a.توہین آمیز
pang	n+f.شدید درد@n+f.کسک
swag	n+m.لوٹ کا مال@n+f.چال
reared	v.پالا پوسا
pampered	a.لاڈ پیار سے پالا ہوا
yap	vi.بھونکنا@n+f.بھونک
bottlenecks	n+f.رکاوٹیں
pyrex	n+m.پائریکس
inquiring	a.متجسس@v.پوچھتا ہوا
sculpting	n+f.مجسمہ سازی
sedans	n+f.سیڈان گاڑیاں
praising	v.تعریف کرنا
dpt	n+m.ڈی پی ٹی
momentary	a.لمحاتی
launchers	n+m.لانچر
finishers	n+m.مکمل کرنے والے
commemoration	n+f.یادگار تقریب
psychologically	ad.نفسیاتی طور پر
holstein	n+m.ہولسٹائن
interdependence	n+f.باہمی انحصار
serpentine	a.سانپ جیسا@n+m.سانپ پتھر
droplets	n+f.بوندیں
inducted	v.شامل کیا
hangings	n+f.لٹکائیں@n+f.پھانسیاں
uninitialized	a.غیر ابتدائی
sundry	a.متفرق
repercussions	n+f.پرتیکرم
protestants	n+m.پروٹسٹنٹ
therefrom	ad.اس سے
hydrological	a.آبی علم سے متعلق
runes	n+f.قدیم حروف
wrecking	n+f.تباہی@a.تباہ کن
pique	n+f.چڑ@vt.چڑانا
ortega	n+m.اورٹیگا
breweries	n+f.شراب خانے
landon	n+m.لینڈن
forecaster	n+m.پیش گوئی کرنے والا
quickie	n+f.جلدی کی چیز
swore	v.قسم کھائی
parabolic	a.مکافی
boreal	a.شمالی
bankroll	n+m.سرمایہ@vt.سرمایہ دینا
tabulation	n+f.جدول بندی
journeyman	n+m.ماہر کاریگر
enlighten	vt.روشن کرنا@vt.آگاہ کرنا
descartes	n+m.ڈیکارٹ
trier	n+m.کوشش کرنے والا
arbitrage	n+f.ثالثی منافع
flashy	a.بھڑکیلا
prowess	n+f.بہادری@n+f.مہارت
abstractions	n+f.تجریدات
enriching	a.افزودہ کرنے والا
dogwood	n+m.ڈاگ ووڈ
trampling	n+f.روندنا@v.پامال کرنا
signet	n+f.مہر@n+f.انگوٹھی
iroquois	n+m.اروکوائی
convergent	a.متقارب
digested	a.ہضم شدہ
rothschild	n+m.روتھسچائلڈ
trumpets	n+f.ترہیاں@n+m.بگل
majoring	v.مہارت حاصل کرنا
glitches	n+f.خرابیاں
embodies	vt.مجسم کرتا ہے
qwerty	n+m.کوورٹی
equivalency	n+f.مساوات
sedation	n+f.تسکین
manhood	n+f.مردانگی
cannibal	n+m.آدم خور
nephews	n+m.بھتیجے@n+m.بھانجے
oblivious	a.بے خبر
atmospheres	n+f.فضائیں
stricter	a.زیادہ سخت
harmonics	n+f.توافقیات
devi	n+f.دیوی
memes	n+f.میمز
lavatory	n+m.بیت الخلا
roughness	n+f.کھردرا پن
destructor	n+m.تباہ کنندہ
accelerates	vt.تیز کرتا ہے
opts	vi.انتخاب کرتا ہے
ancients	n+m.قدیم لوگ
snapping	n+f.چٹخنا@a.چٹختا
jethro	n+m.جیتھرو
cauliflower	n+f.پھول گوبھی
midfielder	n+m.مڈفیلڈر
feudal	a.جاگیردارانہ
tornadoes	n+f.بگولے
unbearable	a.ناقابل برداشت
docklands	n+f.بندرگاہی علاقے
perpetrated	v.ارتکاب کیا
tanzanian	a.تنزانوی@n+m.تنزانوی شخص
basses	n+f.گہری آوازیں@n+m.باس
boarded	v.سوار ہوا
olympian	a.اولمپیائی@n+m.اولمپک کھلاڑی
safeway	n+m.سیف وے
sheri	n+f.شیری
livre	n+m.لیور
wikis	n+f.ویکیز
mozzarella	n+f.موزریلا
glenda	n+f.گلینڈا
interferes	vi.مداخلت کرتا ہے
devotions	n+f.عبادات
myra	n+f.مائرا
devotees	n+m.عقیدت مند
acquaintances	n+m.جان پہچان
sectarian	a.فرقہ وارانہ
yonkers	n+m.یونکرز
fathom	n+m.فیدم@vt.سمجھنا
republish	vt.دوبارہ شائع کرنا
cools	vt.ٹھنڈا کرتا ہے
endoscopic	a.اندر بینی
dilbert	n+m.ڈلبرٹ
segundo	n+m.سیگنڈو
appreciative	a.قدردان
innumerable	a.بے شمار
parramatta	n+f.پیرامٹا
biscayne	n+m.بسکین
disproportionately	ad.غیر متناسب طور پر
noticeably	ad.نمایاں طور پر
furs	n+f.کھالیں
taskbar	n+f.ٹاسک بار
libero	n+m.لیبرو
synchrotron	n+m.سنکروٹرون
tet	n+m.ٹیٹ
memorize	vt.یاد کرنا
marquez	n+m.مارکیز
volumetric	a.حجمی
atonement	n+f.کفارہ
extant	a.موجود
ignacio	n+m.اگناسیو
unmask	vt.پردہ فاش کرنا
umpires	n+m.امپائر
shuttles	n+f.شٹلیں@vi.آنا جانا
chisel	n+f.چھینی@vt.تراشنا
hyperplasia	n+f.زیادہ نشوونما
donahue	n+m.ڈوناہیو
mysteriously	ad.پراسرار طور پر
parodies	n+f.تضحیکیں@vt.تضحیک کرنا
prado	n+m.پراڈو
wayward	a.سرکش@a.ضدی
legit	a.جائز
redness	n+f.سرخی
dreamland	n+f.خوابوں کی سرزمین
scrapped	a.ختم شدہ@v.ردی کیا
dillard	n+m.ڈلارڈ
wands	n+f.چھڑیاں
orphanage	n+m.یتیم خانہ
illustrious	a.نامور@a.شاندار
disruptions	n+f.رکاوٹیں
erasure	n+f.مٹاؤ
fishy	a.مچھلی جیسا@a.مشکوک
preamp	n+m.پری ایمپ
pauses	n+f.توقفات@vi.رکتا ہے
ziegler	n+m.زیگلر
loewe	n+m.لووی
intoxication	n+f.نشہ
freelancer	n+m.آزاد پیشہ ور
glimmer	n+f.جھلک@vi.ٹمٹمانا
radars	n+m.ریڈار
materiel	n+m.جنگی سامان
blooded	a.خون والا
slamming	n+f.زور سے بند کرنا
cooperstown	n+m.کوپرزٹاؤن
syllables	n+f.ہجے
staffers	n+m.عملے کے ارکان
daw	n+m.ڈاو
whim	n+f.چاہ@n+f.خیالی پلاؤ
teddies	n+f.ٹیڈیاں
upsilon	n+m.اپسیلون
sizable	a.کافی بڑا
coenzyme	n+m.معاون خامرہ
filmy	a.پتلی تہہ والا
timid	a.شرمیلا@a.ڈرپوک
afterlife	n+f.بعد از موت زندگی
mather	n+m.میتھر
ismail	n+m.اسماعیل
cml	n+m.سی ایم ایل
tampering	n+f.چھیڑ چھاڑ
counterpoint	n+m.متقابل نقطہ
weavers	n+m.جولاہے
magically	ad.جادوئی طور پر
pied	a.چتکبرا
thyself	pron.تو خود
wristband	n+f.کلائی بند
jimenez	n+m.جیمینیز
chiller	n+m.ٹھنڈا کرنے والا
rooting	n+f.جڑ پکڑنا@v.جڑ لگانا
pretended	a.بناوٹی@v.بہانہ کیا
nigh	ad.قریب@a.نزدیک
therewith	ad.اس کے ساتھ
interment	n+f.تدفین
ales	n+f.بیئر
partitioned	a.تقسیم شدہ
jonathon	n+m.جوناتھن
sump	n+m.تالاب@n+m.گڑھا
breadcrumb	n+f.روٹی کا چورا
sucrose	n+f.سوکروز
populous	a.گنجان آباد
modesty	n+f.حیا@n+f.شائستگی
cortisol	n+m.کورٹیسول
banshee	n+f.بانشی
supersedes	vt.جگہ لے لیتا ہے
veils	n+f.نقابیں@vt.ڈھانپنا
frei	n+m.فرائی
pacino	n+m.پچینو
zest	n+m.جوش@n+f.چٹخارہ
leif	n+m.لیف
sumptuous	a.شاندار@a.پرتعیش
chronically	ad.دائمی طور پر
preschoolers	n+m.نرسری کے بچے
unenforceable	a.ناقابل نفاذ
fisheye	n+f.مچھلی کی آنکھ
oaxaca	n+f.واہاکا
wayside	n+m.سڑک کنارہ
spotless	a.بے داغ
gerontology	n+f.علم الشیخوخت
predation	n+f.شکار
kilimanjaro	n+m.کلیمنجارو
exacerbated	v.بگاڑ دیا
infestation	n+f.حملہ@n+f.آلودگی
linearity	n+f.خطیت
huey	n+m.ہیوئی
aerials	n+m.ایریل@a.ہوائی
summits	n+f.چوٹیاں@n+f.کانفرنسیں
stylist	n+m.ماہر اسٹائل
porosity	n+f.سوراخ داری
sprayer	n+m.اسپرے کرنے والا
tirol	n+m.ٹیرول
banc	n+m.عدالتی مجلس
gliders	n+m.گلائیڈرز
corby	n+m.کوربی
barbed	a.کانٹے دار
prognostic	a.پیش گوئی کا
unregulated	a.غیر منظم
pittman	n+m.پٹمین
legions	n+f.فوجیں
bbl	n+m.بیرل
dona	n+f.ڈونا
lustre	n+f.چمک
sunflowers	n+f.سورج مکھیاں
ecstatic	a.بے خود@a.پرمسرت
reportable	a.قابل اطلاع
campania	n+f.کمپینیا
dickerson	n+m.ڈکرسن
carotene	n+m.کیروٹین
blasphemy	n+f.کفر@n+f.توہین
wisp	n+f.گچھا@n+f.جھونکا
enrollees	n+m.داخلہ لینے والے
countenance	n+m.چہرہ@vt.برداشت کرنا
skinning	n+f.کھال اتارنا
compaction	n+f.دباؤ
juicers	n+m.جوس نکالنے والے
methionine	n+f.میتھیونین
lala	n+m.لالا
sift	vt.چھاننا
ooze	vi.رسنا@n+f.کیچڑ
delimiter	n+m.حد بندی نشان
forsaken	a.چھوڑا ہوا@a.متروک
recounts	vt.دوبارہ گنتا ہے@n+f.دوبارہ گنتی
hangout	n+f.اڈا
striptease	n+f.کپڑے اتارنے کا رقص
burgeoning	a.پھلتا پھولتا
adventurers	n+m.مہم جو
amnesia	n+f.بھولنے کی بیماری
bigotry	n+f.تعصب
cipro	n+m.سپرو
leaky	a.ٹپکنے والا
contradicts	vt.تردید کرتا ہے
cherie	n+f.شیری
leven	n+m.لیون
menswear	n+m.مردانہ لباس
pagans	n+m.بت پرست
wrenches	n+f.پانے@vt.موڑنا
actuate	vt.متحرک کرنا
dinars	n+m.دینار
capote	n+m.کیپوٹ
molar	n+m.داڑھ@a.داڑھ کا
fume	n+f.دھواں@vi.دھواں نکالنا
montevideo	n+m.مونٹی ویڈیو
sunglass	n+m.دھوپ کا چشمہ
afloat	a.تیرتا ہوا@ad.پانی میں
kassel	n+m.کیسل
bruised	a.زخمی@a.نیل پڑا
flattering	a.خوشامدی@a.بہتر دکھانے والا
followings	n+f.پیروکار
brigades	n+f.بریگیڈیں
engrossed	a.محو@a.مصروف
accretion	n+f.اضافہ@n+f.جمع
dashes	n+f.ڈیشیں@vi.دوڑتا ہے
impeach	vt.مواخذہ کرنا
atrophy	n+f.سکڑاؤ@vi.سکڑنا
bullpen	n+m.بل پین
mamas	n+f.مائیں
brag	vi.شیخی مارنا@n+f.شیخی
dysplasia	n+f.غیر معمولی نشوونما
earls	n+m.ارل
utopian	a.خیالی@a.یوٹوپیائی
confers	vt.عطا کرتا ہے@vi.مشورہ کرتا ہے
totality	n+f.مجموعیت
circumvent	vt.گریز کرنا@vt.چکمہ دینا
sosa	n+m.سوسا
hyped	a.مبالغہ آمیز
epidermal	a.بیرونی جلد کا
boulders	n+m.بڑے پتھر
autopilot	n+m.خودکار پائلٹ
garza	n+m.گارزا
decrypt	vt.رمز کشائی کرنا
batik	n+m.باتک
negotiator	n+m.مذاکرات کار
yolanda	n+f.یولینڈا
utilising	v.استعمال کرنا
fermanagh	n+m.فرماناگ
muff	n+f.ہاتھوں کا جراب@vt.گڑبڑ کرنا
interoperable	a.باہم کار آمد
maude	n+f.ماڈ
mam	n+f.ماں
odour	n+f.بو
delano	n+m.ڈیلینو
bellamy	n+m.بیلامی
snag	n+f.رکاوٹ@vt.پھنسنا
sonja	n+f.سونجا
fringes	n+f.جھالریں@n+f.کنارے
excavated	v.کھدائی کی
smoothed	v.ہموار کیا
replaceable	a.قابل تبدیلی
forint	n+m.فورنٹ
nudism	n+m.عریانیت
formulary	n+f.نسخہ جات@a.فارمولائی
affirms	vt.تصدیق کرتا ہے
irvin	n+m.ارون
hounslow	n+m.ہاؤنسلو
gulch	n+f.گھاٹی
striping	n+f.دھاری لگانا
excavating	v.کھدائی کرنا
recoveries	n+f.بحالیاں
mainstreaming	n+f.مرکزی دھارے میں شامل کرنا
irrevocable	a.ناقابل واپسی
moaned	v.کراہا
axles	n+m.دھرے
graciously	ad.مہربانی سے
seasonings	n+m.مصالحے
marcelo	n+m.مارسیلو
clamping	n+f.کلیمپ لگانا
whiplash	n+f.چابک کی چوٹ
dildoes	n+m.مصنوعی آلات
radiated	v.چمکا@a.شعاعی
takeoff	n+m.اڑان@n+f.نقل
wiggle	vi.ہلنا@vt.ہلانا
henna	n+f.مہندی
cartesian	a.دیکارتی
bribe	n+f.رشوت@vt.رشوت دینا
propel	vt.آگے بڑھانا
yank	vt.جھٹکا دینا@n+m.امریکی
outspoken	a.صاف گو
llewellyn	n+m.لیولین
shag	n+f.لمبی رواں@n+f.قالین
asymmetrical	a.غیر متوازن
trolleys	n+f.ٹرالیاں
interlocking	a.آپس میں جڑا@n+f.جوڑ
verily	ad.بے شک
doped	a.نشے میں
headband	n+f.سر پٹی
ardent	a.پرجوش@a.شدید
outperform	vt.بہتر کارکردگی دکھانا
harmonization	n+f.ہم آہنگی
forcibly	ad.زبردستی
differentiating	v.فرق کرنا
hitters	n+m.مارنے والے
konrad	n+m.کونراڈ
wickets	n+f.وکٹیں
restarting	v.دوبارہ شروع کرنا
presided	v.صدارت کی
rocha	n+m.روچا
shimmer	vi.جھلملانا@n+f.جھلملاہٹ
stevenage	n+m.اسٹیوینج
tremor	n+m.کانپنا@n+m.زلزلہ
restructured	v.تنظیم نو کی
aerodynamic	a.ہوائی حرکیات
hopewell	n+m.ہوپویل
evaluative	a.تشخیصی
loaned	v.قرض دیا
violins	n+f.وائلن
extravagant	a.فضول خرچ@a.مبالغہ آمیز
ghent	n+m.گینٹ
astute	a.ذہین@a.چالاک
subtracting	v.تفریق کرنا
kuna	n+f.کونا
logbook	n+f.لاگ بک
xor	n+m.ایکس او آر
louth	n+m.لاؤتھ
pict	n+m.پکٹ
inflict	vt.مسلط کرنا
rotates	vi.گھومتا ہے
invalidate	vt.باطل کرنا
ridiculously	ad.مضحکہ خیز طور پر
leanne	n+f.لیان
legible	a.پڑھنے کے قابل
towed	v.کھینچا
rescues	vt.بچاتا ہے@n+f.بچاؤ
disregarded	v.نظرانداز کیا
salted	a.نمکین
causality	n+f.سببیت
tiling	n+f.ٹائلیں لگانا
ethnographic	a.نسل نگاری
attractiveness	n+f.کشش
waffles	n+f.وافل
doubly	ad.دوگنا
calamity	n+f.آفت
fandango	n+m.فینڈانگو
catalysis	n+f.عمل انگیزی
brewed	v.بنایا گیا
aristocrats	n+m.امرا
annexes	n+f.ضمیمے@vt.الحاق کرنا
lisle	n+m.لائل
fiance	n+m.منگیتر
sprawling	a.پھیلا ہوا
vulture	n+m.گدھ
mislead	vt.گمراہ کرنا
wrongdoing	n+f.غلط کاری
ventral	a.پیٹ کا
gunter	n+m.گنٹر
retard	vt.روکنا@n+m.احمق
iranians	n+m.ایرانی
platters	n+f.تھالیاں
canto	n+m.باب
commandos	n+m.کمانڈوز
germanic	a.جرمن
harassed	a.پریشان@v.ستایا
repeatable	a.قابل تکرار
discriminated	v.امتیاز کیا
estelle	n+f.ایسٹیل
weekender	n+m.ویک اینڈ منانے والا
welders	n+m.ویلڈر
sponges	n+f.اسفنج
semifinals	n+f.سیمی فائنلز
cavendish	n+m.کیونڈش
quantization	n+f.مقدار بندی
surfacing	n+f.سطح بندی@v.سطح پر آنا
receptacles	n+m.برتن
vegetarians	n+m.سبزی خور
revered	a.مقدس@v.عزت کی
transponder	n+m.ٹرانسپانڈر
harassing	v.ہراساں کرنا
dislocation	n+f.ہڈی اترنا@n+f.بے ترتیبی
shingle	n+f.چھت کی ٹائل@n+m.بجری
timbers	n+f.لکڑیاں
undergoes	vt.گزرتا ہے
guatemalan	a.گوئٹے مالائی@n+m.گوئٹے مالائی شخص
iguana	n+m.اگوانا
glaring	a.چمکدار@a.واضح
choker	n+m.گلے کا ہار
tilting	n+f.جھکاؤ@v.جھکانا
ecologically	ad.ماحولیاتی طور پر
scoreboards	n+f.اسکور بورڈز
conquering	v.فتح کرنا
